index_gen,index_ind,conductivity,density,specific_heat,u_value,SHGC,infiltration,people,lpd,epd,cooling,heating,nmbe,cvrmse,is_pareto
1,1,0.03347893156041391,204.80690746800974,904.4076295990496,4.715753389196936,0.22586173915769905,1.185058222617954e-4,14.086307352408767,10.046063483227044,8.526701816357672,22.634848430752754,19.027089740149677,0.13585826146496913,0.15408837606514889,FALSE
1,2,0.07200639447104187,146.5963985642884,726.2688029423355,3.9356154448832386,0.5173952527344227,1.3514599727932364e-4,22.575723121408373,3.7317947247065604,5.1191604058258235,23.51317790709436,19.137412574025802,0.5193964319873324,0.6310617419239344,FALSE
1,3,0.054248014630051335,205.67075345665216,1254.2995047725735,1.6463503953712062,0.5401655088877305,4.2974367924034594e-4,11.658725636079907,15.46420571533963,4.140269345603883,22.669464704580605,15.031600642134435,0.17310211522179744,0.176445398746048,FALSE
1,4,0.025681909843115136,279.5451959245838,652.1599755428731,4.5963065036369954,0.5168982541887089,4.717590701766312e-4,20.644389310618863,12.404463581740856,10.410707489587367,25.500107211992145,15.304195006610826,0.037949142754863954,0.061026150601502724,TRUE
2,1,0.07200639447104187,204.80690746800974,904.4076295990496,4.715753389196936,0.22586173915769905,1.185058222617954e-4,14.086307352408767,10.046063483227044,8.526701816357672,22.634848430752754,19.027089740149677,0.13585826146496913,0.15408837606514889,FALSE
2,2,0.03347893156041391,146.5963985642884,726.2688029423355,3.9356154448832386,0.5173952527344227,1.3514599727932364e-4,22.575723121408373,3.7317947247065604,5.1191604058258235,23.51317790709436,19.137412574025802,0.5193964319873324,0.6310617419239344,FALSE
2,3,0.054248014630051335,205.67075345665216,1254.2995047725735,1.6463503953712062,0.5401655088877305,4.2974367924034594e-4,11.658725636079907,15.46420571533963,10.410707489587367,25.500107211992145,15.304195006610826,0.14104222594498012,0.20643531551109168,FALSE
2,4,0.025681909843115136,279.5451959245838,652.1599755428731,4.5963065036369954,0.5168982541887089,4.717590701766312e-4,20.644389310618863,12.404463581740856,4.140269345603883,22.669464704580605,15.031600642134435,0.2761843570780411,0.29105926097217366,FALSE
3,1,0.03347893156041391,204.80690746800974,904.4076295990496,4.715753389196936,0.22586173915769905,1.185058222617954e-4,14.086307352408767,10.046063483227044,8.526701816357672,22.634848430752754,19.027089740149677,0.13585826146496913,0.15408837606514889,FALSE
3,2,0.07200639447104187,204.80690746800974,904.4076295990496,4.715753389196936,0.22586173915769905,1.185058222617954e-4,14.086307352408767,10.046063483227044,8.526701816357672,22.634848430752754,19.027089740149677,0.13585826146496913,0.15408837606514889,FALSE
3,3,0.054248014630051335,205.67075345665216,1254.2995047725735,1.6463503953712062,0.5401655088877305,4.2974367924034594e-4,11.658725636079907,15.46420571533963,4.140269345603883,22.669464704580605,15.031600642134435,0.17310211522179744,0.176445398746048,FALSE
3,4,0.025681909843115136,279.5451959245838,652.1599755428731,4.5963065036369954,0.5168982541887089,4.717590701766312e-4,20.644389310618863,12.404463581740856,10.410707489587367,25.500107211992145,15.304195006610826,0.037949142754863954,0.061026150601502724,TRUE
